PMCID,PMID,doi,year,title,journal,topic,file,license
PMC10480496,37670124,10.1038/s42003-023-05300-4,2023.0,Single-cell transcriptomes reveal a molecular link between diabetic kidney and retinal lesions.,Communications biology,CardioMetabolic,oa_package/01/cb/PMC10480496.tar.gz,CC BY
PMC7006375,32028918,10.1186/s12889-020-8214-y,2020.0,Quality of medical prescriptions in diabetes and hypertension management in Kerala and its associated factors.,BMC public health,CardioMetabolic,oa_package/a2/d4/PMC7006375.tar.gz,CC BY
PMC5856437,29513794,10.1590/1414-431X20176980,2018.0,The hepatic ectonucleotide pyrophosphatase/phosphodiesterase 1 gene mRNA abundance is reduced by insulin and induced by dexamethasone.,Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologica,CardioMetabolic,oa_package/0c/52/PMC5856437.tar.gz,CC BY
PMC9516499,36171539,10.1186/s12872-022-02864-7,2022.0,Prevalence of pain and its association with quality of life of patients with heart failure in a developing country: findings from a multicenter cross-sectional study.,BMC cardiovascular disorders,CardioMetabolic,oa_package/39/57/PMC9516499.tar.gz,CC BY
PMC6028626,29967428,10.1038/s41598-018-27795-2,2018.0,Increased activin A levels in prediabetes and association with carotid intima-media thickness: a cross-sectional analysis from I-Lan Longitudinal Aging Study.,Scientific reports,CardioMetabolic,oa_package/6c/61/PMC6028626.tar.gz,CC BY
PMC7410327,32760167,10.1371/journal.pone.0237388,2020.0,Are heart rate methods based on ergometer cycling and level treadmill walking interchangeable?,PloS one,CardioMetabolic,oa_package/7d/02/PMC7410327.tar.gz,CC BY
PMC6053471,30034267,10.3897/BDJ.6.e27032,2018.0,Check-list of vascular plant communities on ironstone ranges of south-eastern Brazil: dataset for conservation.,Biodiversity data journal,CardioMetabolic,oa_package/a5/7e/PMC6053471.tar.gz,CC BY
PMC7884201,33536353,10.3343/alm.2021.41.4.357,2021.0,Predictive Value of Plasma NGAL:Hepcidin-25 for Major Adverse Kidney Events After Cardiac Surgery with Cardiopulmonary Bypass: A Pilot Study.,Annals of laboratory medicine,CardioMetabolic,oa_package/16/89/PMC7884201.tar.gz,CC BY-NC
PMC7691054,33292449,10.1186/s13098-020-00612-5,2020.0,"Intraperitoneal, but not retroperitoneal, visceral adipose tissue is associated with diabetes mellitus: a cross-sectional, retrospective pilot analysis.",Diabetology & metabolic syndrome,CardioMetabolic,oa_package/2f/38/PMC7691054.tar.gz,CC BY
PMC8555455,34745360,10.2903/j.efsa.2021.6881,2021.0,Presence of nitrofurans and their metabolites in gelatine.,EFSA journal. European Food Safety Authority,CardioMetabolic,oa_package/97/ca/PMC8555455.tar.gz,CC BY-ND
PMC8273437,34262472,10.3389/fphys.2021.671161,2021.0,Modulation of Perturbed Cardiac Metabolism in Rats Under High-Altitude Hypoxia by Combination Treatment With L-carnitine and Trimetazidine.,Frontiers in physiology,CardioMetabolic,oa_package/d4/dc/PMC8273437.tar.gz,CC BY
PMC8109127,33839695,10.18632/aging.202829,2021.0,Melatonin attenuates smoking-induced atherosclerosis by activating the Nrf2 pathway via NLRP3 inflammasomes in endothelial cells.,Aging,CardioMetabolic,oa_package/98/06/PMC8109127.tar.gz,CC BY
PMC11585202,39580388,10.1186/s12872-024-04355-3,2024.0,Comparing HeartModel(AI) and cardiac magnetic resonance imaging for left ventricular volume and function evaluation in patients with dilated cardiomyopathy.,BMC cardiovascular disorders,CardioMetabolic,oa_package/6e/6d/PMC11585202.tar.gz,CC BY-NC-ND
PMC8333174,34342790,10.1186/s43141-021-00214-2,2021.0,Assessing the association of rs7574865 STAT4 gene variant and type 1 diabetes mellitus among Egyptian patients.,"Journal, genetic engineering & biotechnology",CardioMetabolic,oa_package/ce/4b/PMC8333174.tar.gz,CC BY
PMC10727256,37776189,10.1161/JAHA.123.029463,2023.0,Associations of Sleep Patterns With Dynamic Trajectory of Cardiovascular Multimorbidity and Mortality: A Multistate Analysis of a Large Cohort.,Journal of the American Heart Association,CardioMetabolic,oa_package/7b/57/PMC10727256.tar.gz,CC BY-NC
PMC8716903,35002427,10.1016/j.sjbs.2021.08.093,2021.0,Antihypertensive and cardioprotective effects of different monotherapies and combination therapies in young spontaneously hypertensive rats - A pilot study.,Saudi journal of biological sciences,CardioMetabolic,oa_package/3c/7e/PMC8716903.tar.gz,CC BY-NC-ND
PMC8670125,34906223,10.1186/s13068-021-02088-5,2021.0,Proteomic and biochemical responses to different concentrations of CO(2) suggest the existence of multiple carbon metabolism strategies in Phaeodactylum tricornutum.,Biotechnology for biofuels,CardioMetabolic,oa_package/6f/3d/PMC8670125.tar.gz,CC BY
PMC9748748,36317424,10.1002/clc.23915,2022.0,"Multimorbidity, functional impairment, and mortality in older patients stable after prior acute myocardial infarction: Insights from the TIGRIS registry.",Clinical cardiology,CardioMetabolic,oa_package/d7/67/PMC9748748.tar.gz,CC BY
PMC10645885,37964026,10.1038/s43705-023-00327-4,2023.0,Phylogenetically and metabolically diverse autotrophs in the world's deepest blue hole.,ISME communications,CardioMetabolic,oa_package/8f/d3/PMC10645885.tar.gz,CC BY
PMC7057661,32131854,10.1186/s12968-020-0604-x,2020.0,Assessment of carotid atherosclerotic disease using three-dimensional cardiovascular magnetic resonance vessel wall imaging: comparison with digital subtraction angiography.,Journal of cardiovascular magnetic resonance : official journal of the Society for Cardiovascular Magnetic Resonance,CardioMetabolic,oa_package/db/e7/PMC7057661.tar.gz,CC BY
PMC10053156,36460487,10.1002/ehf2.14231,2022.0,Red cell distribution width as a prognosticator in patients with heart failure.,ESC heart failure,CardioMetabolic,oa_package/0d/91/PMC10053156.tar.gz,CC BY-NC-ND
PMC7294144,32319182,10.1111/jcmm.15293,2020.0,Klotho protein contributes to cardioprotection during ischaemia/reperfusion injury.,Journal of cellular and molecular medicine,CardioMetabolic,oa_package/b5/d0/PMC7294144.tar.gz,CC BY
PMC8777013,35071352,10.3389/fcvm.2021.779695,2022.0,Can Cardiopulmonary Rehabilitation Facilitate Weaning of Extracorporeal Membrane Oxygenation (CaRe-ECMO)? Study Protocol for a Prospective Multidisciplinary Randomized Controlled Trial.,Frontiers in cardiovascular medicine,CardioMetabolic,oa_package/7d/83/PMC8777013.tar.gz,CC BY
PMC10129255,34240401,10.5603/CJ.a2021.0076,2021.0,Association between mitral annulus calcification and subtypes of heart failure rehospitalization.,Cardiology journal,CardioMetabolic,oa_package/54/db/PMC10129255.tar.gz,CC BY-NC-ND
PMC6566875,31169043,10.1080/14756366.2019.1617287,2019.0,Synthesis and characterisation of a new benzamide-containing nitrobenzoxadiazole as a GSTP1-1 inhibitor endowed with high stability to metabolic hydrolysis.,Journal of enzyme inhibition and medicinal chemistry,CardioMetabolic,oa_package/c8/26/PMC6566875.tar.gz,CC BY
PMC8613918,34819079,10.1186/s12933-021-01420-5,2021.0,Epicardial adipose tissue volume and myocardial ischemia in asymptomatic people living with diabetes: a cross-sectional study.,Cardiovascular diabetology,CardioMetabolic,oa_package/98/db/PMC8613918.tar.gz,CC BY
PMC10804451,38264195,10.3389/fnut.2023.1281539,2024.0,Association between ischemic heart disease and dietary intake of lycopene: a case-control study.,Frontiers in nutrition,CardioMetabolic,oa_package/3b/4e/PMC10804451.tar.gz,CC BY
PMC11842716,39979445,10.1038/s41598-025-90589-w,2025.0,Study on the growth characteristics of Pinus yunnanensis seedlings based on hormonal regulation and chlorophyll metabolism.,Scientific reports,CardioMetabolic,oa_package/c9/d2/PMC11842716.tar.gz,CC BY-NC-ND
PMC10478566,37675038,10.1177/17562864231193530,2023.0,Lipid profile with eslicarbazepine acetate and carbamazepine monotherapy in adult patients with newly diagnosed focal seizures: post hoc analysis of a phase III trial and open-label extension study.,Therapeutic advances in neurological disorders,CardioMetabolic,oa_package/dd/8d/PMC10478566.tar.gz,CC BY-NC
PMC6542328,31213865,10.2147/DMSO.S182953,2019.0,Early effects of roflumilast on insulin sensitivity in adults with prediabetes and overweight/obesity involve age-associated fat mass loss - results of an exploratory study.,"Diabetes, metabolic syndrome and obesity : targets and therapy",CardioMetabolic,oa_package/3b/5c/PMC6542328.tar.gz,CC BY-NC
PMC7801751,33389955,10.4093/dmj.2020.0258,2020.0,Comprehensive Review of Current and Upcoming Anti-Obesity Drugs.,Diabetes & metabolism journal,CardioMetabolic,oa_package/ae/bd/PMC7801751.tar.gz,CC BY-NC
PMC9321811,35886177,10.3390/ijerph19148328,2022.0,"The Long-Term Association between Physical Activity and Weight Regain, Metabolic Risk Factors, Quality of Life and Sleep after Bariatric Surgery.",International journal of environmental research and public health,CardioMetabolic,oa_package/8b/18/PMC9321811.tar.gz,CC BY
PMC12476130,40984640,10.12659/AOT.949664,2025.0,Effect of Kidney Transplant Type on Coronary Endothelial Function in Individuals with Chronic Kidney Disease.,Annals of transplantation,CardioMetabolic,oa_package/81/ca/PMC12476130.tar.gz,CC BY-NC-ND
PMC10231993,36951953,10.1172/JCI163808,2023.0,TMEM16E regulates endothelial cell procoagulant activity and thrombosis.,The Journal of clinical investigation,CardioMetabolic,oa_package/a5/ba/PMC10231993.tar.gz,CC BY
PMC9496408,36056733,10.1161/JAHA.122.027143,2022.0,Bereavement and Prognosis After a First Acute Myocardial Infarction: A Swedish Register-Based Cohort Study.,Journal of the American Heart Association,CardioMetabolic,oa_package/32/6d/PMC9496408.tar.gz,CC BY-NC
PMC7993598,33765000,10.1371/journal.pone.0248782,2021.0,The association between body composition and metabolically unhealthy profile of adults with normal weight in Northwest China.,PloS one,CardioMetabolic,oa_package/d0/f0/PMC7993598.tar.gz,CC BY
PMC11747682,39109797,10.1210/clinem/dgae545,2025.0,Insulin Sensitivity and Insulin Secretion in Adults With Friedreich's Ataxia: The Role of Skeletal Muscle.,The Journal of clinical endocrinology and metabolism,CardioMetabolic,oa_package/27/7a/PMC11747682.tar.gz,CC BY-NC-ND
PMC11042785,38659523,10.7759/cureus.56902,2024.0,Chronomedicine Insights: Evaluating the Impact of Time-Restricted Meal Intake on Lipid Profile Parameters Among Individuals With Type 2 Diabetes in Northern India.,Cureus,CardioMetabolic,oa_package/3a/13/PMC11042785.tar.gz,CC BY
PMC8270146,34242355,10.1371/journal.pone.0254505,2021.0,Resting heart rate is associated with colorectal advanced adenoma.,PloS one,CardioMetabolic,oa_package/66/80/PMC8270146.tar.gz,CC BY
PMC10768285,38178017,10.1186/s12902-023-01535-8,2024.0,Effects of conditioned media derived from human Wharton's jelly mesenchymal stem cells on diabetic nephropathy and hepatopathy via modulating TGF-β and apelin signaling pathways in male rats.,BMC endocrine disorders,CardioMetabolic,oa_package/da/2e/PMC10768285.tar.gz,CC BY
PMC9163358,35669472,10.3389/fcvm.2022.874133,2022.0,The Predictive Role of Intraoperative Blood Transfusion Components in the Prognosis of Heart Transplantation.,Frontiers in cardiovascular medicine,CardioMetabolic,oa_package/27/9d/PMC9163358.tar.gz,CC BY
PMC8284547,34326991,10.7189/jogh.11.04041,2021.0,Lifetime risk of developing diabetes and years of life lost among those with diabetes in Brazil.,Journal of global health,CardioMetabolic,oa_package/93/d2/PMC8284547.tar.gz,CC BY
PMC9334074,35911864,10.1155/2022/8156942,2022.0,Recurrence of LV Thrombus in a Patient with Severe Ischaemic Cardiomyopathy Anticoagulated with Apixaban.,Case reports in cardiology,CardioMetabolic,oa_package/81/60/PMC9334074.tar.gz,CC BY
PMC10165261,37168663,10.1016/j.jvssci.2023.01.001,2023.0,Degradation phenomena on last generations of polyethylene terephthalate knitted vascular prostheses.,JVS-vascular science,CardioMetabolic,oa_package/75/25/PMC10165261.tar.gz,CC BY-NC-ND
PMC11367099,39224336,10.1016/j.heliyon.2024.e35978,2024.0,The flavonoid Sudachitin regulates glucose metabolism via PDE inhibition.,Heliyon,CardioMetabolic,oa_package/7a/cc/PMC11367099.tar.gz,CC BY-NC-ND
PMC10909565,36093602,10.1111/ijpo.12974,2022.0,Childhood follow-up of the GRoW randomized trial: Metformin in addition to dietary and lifestyle advice for pregnant women with overweight or obesity.,Pediatric obesity,CardioMetabolic,oa_package/6c/93/PMC10909565.tar.gz,CC BY-NC-ND
PMC8901330,35265713,10.1155/2022/4833791,2022.0,T1AM Attenuates the Hypoxia/Reoxygenation-Induced Necroptosis of H9C2 Cardiomyocytes via RIPK1/RIPK3 Pathway.,BioMed research international,CardioMetabolic,oa_package/9f/ed/PMC8901330.tar.gz,CC BY
PMC11900628,40076719,10.3390/ijms26052099,2025.0,Progerin mRNA Is Associated with Smoking and Signs of Increased Microvascular Damage in Patients with Diabetic Macular Edema.,International journal of molecular sciences,CardioMetabolic,oa_package/32/61/PMC11900628.tar.gz,CC BY
PMC11755649,39846697,10.3390/medsci13010002,2024.0,Pathophysiological Features of Remodeling in Vascular Diseases: Impact of Inhibitor of DNA-Binding/Differentiation-3 and Estrogenic Endocrine Disruptors.,"Medical sciences (Basel, Switzerland)",CardioMetabolic,oa_package/4e/95/PMC11755649.tar.gz,CC BY
PMC11879673,40040838,10.1016/j.jesf.2025.02.001,2025.0,"Impact of sequence in concurrent training on physical activity, body composition, and fitness in obese young males: A 12-week randomized controlled trial.",Journal of exercise science and fitness,CardioMetabolic,oa_package/55/f3/PMC11879673.tar.gz,CC BY
PMC7464030,32796650,10.3390/metabo10080326,2020.0,Metabolic Profiling Reveals Aggravated Non-Alcoholic Steatohepatitis in High-Fat High-Cholesterol Diet-Fed Apolipoprotein E-Deficient Mice Lacking Ron Receptor Signaling.,Metabolites,CardioMetabolic,oa_package/81/1d/PMC7464030.tar.gz,CC BY
PMC8813963,35127846,10.3389/fcvm.2021.750965,2022.0,Overcoming the Limits of Ejection Fraction and Ventricular-Arterial Coupling in Heart Failure.,Frontiers in cardiovascular medicine,CardioMetabolic,oa_package/68/fa/PMC8813963.tar.gz,CC BY
PMC7154853,32164290,10.3390/plants9030350,2020.0,Comparative Metabolites and Citrate-Degrading Enzymes Activities in Citrus Fruits Reveal the Role of Balance between ACL and Cyt-ACO in Metabolite Conversions.,"Plants (Basel, Switzerland)",CardioMetabolic,oa_package/ae/4b/PMC7154853.tar.gz,CC BY
PMC10052523,36983717,10.3390/jpm13030536,2023.0,Effects of Sodium-Glucose Co-Transporter-2 Inhibitors on Markers of Vascular Damage.,Journal of personalized medicine,CardioMetabolic,oa_package/ab/a9/PMC10052523.tar.gz,CC BY
PMC9161753,35664860,10.20517/jca.2022.18,2022.0,WNT links metabolism and cell cycle in postnatal cardiomyocytes.,The journal of cardiovascular aging,CardioMetabolic,oa_package/cd/2e/PMC9161753.tar.gz,CC BY
PMC10309508,37378627,10.1097/HC9.0000000000000203,2023.0,The prevalence and risk factors for cognitive impairment in obesity and NAFLD.,Hepatology communications,CardioMetabolic,oa_package/ac/ff/PMC10309508.tar.gz,CC BY-NC-ND
PMC9071156,35511907,10.1371/journal.pone.0266423,2022.0,Association of microvascular biomarkers in fluorescein angiography with macrovascular-related mortality in clinical routine data.,PloS one,CardioMetabolic,oa_package/db/c9/PMC9071156.tar.gz,CC BY
PMC7526742,33061672,10.2147/CPAA.S273501,2020.0,Hypoglycemic and Antihyperglycemic Activities of 80% Methanol Root Extract of Acanthus polystachyus Delile (Acanthaceae) in Type 2 Diabetic Rats.,Clinical pharmacology : advances and applications,CardioMetabolic,oa_package/a5/32/PMC7526742.tar.gz,CC BY-NC
PMC7418934,32713276,10.1161/HYPERTENSIONAHA.120.15491,2020.0,Endothelial Nitric Oxide Suppresses Action-Potential-Like Transient Spikes and Vasospasm in Small Resistance Arteries.,"Hypertension (Dallas, Tex. : 1979)",CardioMetabolic,oa_package/33/1d/PMC7418934.tar.gz,CC BY
PMC10346809,37447340,10.3390/nu15133013,2023.0,"Genetic Association and Potential Mediators between Sarcopenia and Coronary Heart Disease: A Bidirectional Two-Sample, Two-Step Mendelian Randomization Study.",Nutrients,CardioMetabolic,oa_package/a0/ae/PMC10346809.tar.gz,CC BY
PMC7000334,31918404,10.1016/j.ebiom.2019.102615,2020.0,Mesenchymal stem cells ameliorate β cell dysfunction of human type 2 diabetic islets by reversing β cell dedifferentiation.,EBioMedicine,CardioMetabolic,oa_package/f5/e0/PMC7000334.tar.gz,CC BY-NC-ND
PMC7885285,33586409,10.4274/mirt.galenos.2019.03164,2021.0,Somatostatin Receptor Scintigraphy in a Patient with Myocarditis.,Molecular imaging and radionuclide therapy,CardioMetabolic,oa_package/b1/7f/PMC7885285.tar.gz,CC BY
PMC6945600,31920458,10.1186/s41182-019-0188-z,2020.0,Peer-support to increase uptake of screening for diabetic retinopathy: process evaluation of the DURE cluster randomized trial.,Tropical medicine and health,CardioMetabolic,oa_package/5f/5e/PMC6945600.tar.gz,CC BY
PMC6165326,30223603,10.3390/bioengineering5030074,2018.0,Adverse Hemodynamic Conditions Associated with Mechanical Heart Valve Leaflet Immobility.,"Bioengineering (Basel, Switzerland)",CardioMetabolic,oa_package/87/ab/PMC6165326.tar.gz,CC BY
PMC9858861,36662840,10.1371/journal.pone.0279871,2023.0,The impact of racially-targeted food marketing and attentional biases on consumption in Black adolescent females with and without obesity: Pilot data from the Black Adolescent & Entertainment (BAE) study.,PloS one,CardioMetabolic,oa_package/13/2f/PMC9858861.tar.gz,CC0
PMC11676100,39771009,10.3390/nu16244388,2024.0,Nutritional Counseling Based on Mindful Eating for the Eating Behavior of People Living with Overweight and Obesity: A Randomized Clinical Trial.,Nutrients,CardioMetabolic,oa_package/5b/ae/PMC11676100.tar.gz,CC BY
PMC5899801,29670739,10.4317/jced.54550,2018.0,Endovascular treatment of an intraosseous arteriovenous malformation of the mandible in a child. A case Report.,Journal of clinical and experimental dentistry,CardioMetabolic,oa_package/34/50/PMC5899801.tar.gz,CC BY
PMC9930678,36818546,10.2147/CIA.S392778,2023.0,Higher Preoperative Red Blood Cell Distribution Width Increases the Risk of Myocardial Injury After Noncardiac Surgery in Advanced-Age Patients: A Retrospective Cohort Study.,Clinical interventions in aging,CardioMetabolic,oa_package/ee/73/PMC9930678.tar.gz,CC BY-NC
PMC8925318,34811603,10.1208/s12248-021-00665-y,2021.0,Navigating Through Cell-Based In vitro Models Available for Prediction of Intestinal Permeability and Metabolism: Are We Ready for 3D?,The AAPS journal,CardioMetabolic,oa_package/a6/7d/PMC8925318.tar.gz,NO-CC CODE
PMC11202098,38928601,10.3390/brainsci14060601,2024.0,CD59 Protects Primary Human Cerebrovascular Smooth Muscle Cells from Cytolytic Membrane Attack Complex.,Brain sciences,CardioMetabolic,oa_package/be/33/PMC11202098.tar.gz,CC BY
PMC6314976,30121835,10.1007/s00011-018-1180-5,2018.0,Metabolites of prostaglandin synthases as potential biomarkers of Lyme disease severity and symptom resolution.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],CardioMetabolic,oa_package/e4/96/PMC6314976.tar.gz,CC BY
PMC5964736,29788900,10.1186/s12877-018-0813-4,2018.0,Association between vascular comorbidity and progression of Alzheimer's disease: a two-year observational study in Norwegian memory clinics.,BMC geriatrics,CardioMetabolic,oa_package/e7/be/PMC5964736.tar.gz,CC BY
PMC7044181,32154244,10.3389/fcell.2020.00018,2020.0,C-Reactive Protein Causes Adult-Onset Obesity Through Chronic Inflammatory Mechanism.,Frontiers in cell and developmental biology,CardioMetabolic,oa_package/2a/ad/PMC7044181.tar.gz,CC BY
PMC9626384,36327794,10.1016/j.redox.2022.102519,2022.0,Cystathionine γ lyase S-sulfhydrates Drp1 to ameliorate heart dysfunction.,Redox biology,CardioMetabolic,oa_package/a9/49/PMC9626384.tar.gz,CC BY-NC-ND
PMC8344193,34362349,10.1186/s12902-021-00814-6,2021.0,Correlation of serum delta-like ligand-4 level with the severity of diabetic retinopathy.,BMC endocrine disorders,CardioMetabolic,oa_package/99/79/PMC8344193.tar.gz,CC BY
PMC11052627,38682139,10.5455/OVJ.2024.v14.i3.12,2024.0,Evaluation of tear meniscus height and lipid layer patterns in the tear film in domestic cats: An observational study.,Open veterinary journal,CardioMetabolic,oa_package/f7/6b/PMC11052627.tar.gz,CC BY-NC
PMC10441946,37531030,10.1007/s40123-023-00779-w,2023.0,Visual and Anatomical Outcomes After Initial Intravitreal Faricimab Injection for Neovascular Age-Related Macular Degeneration in Patients with Prior Treatment History.,Ophthalmology and therapy,CardioMetabolic,oa_package/7b/3e/PMC10441946.tar.gz,CC BY-NC
PMC9328409,35911896,10.3389/fneur.2022.902620,2022.0,Case Report: Trigeminocardiac Reflex in Endovascular Recanalization of Intracranial Internal Carotid Artery Occlusion.,Frontiers in neurology,CardioMetabolic,oa_package/6f/7b/PMC9328409.tar.gz,CC BY
PMC6174027,29905797,10.1093/eurheartj/ehy333,2018.0,"Crucial role for Nox2 and sleep deprivation in aircraft noise-induced vascular and cerebral oxidative stress, inflammation, and gene regulation.",European heart journal,CardioMetabolic,oa_package/c6/56/PMC6174027.tar.gz,CC BY-NC
PMC7914900,33567518,10.3390/nu13020550,2021.0,"Lipid Composition, Digestion, and Absorption Differences among Neonatal Feeding Strategies: Potential Implications for Intestinal Inflammation in Preterm Infants.",Nutrients,CardioMetabolic,oa_package/ad/ed/PMC7914900.tar.gz,CC BY
PMC6695231,31431840,10.7759/cureus.4935,2019.0,Utility of Intravascular Ultrasound During Carotid Angioplasty and Stenting with Proximal Protection.,Cureus,CardioMetabolic,oa_package/2f/5a/PMC6695231.tar.gz,CC BY
PMC12289732,40727552,10.1007/s13665-025-00384-1,2025.0,The Potential Role of Glucagon-Like Peptide-1 (GLP-1) Receptor Agonists and Glucose-Dependent Insulinotropic Polypeptide (GIP) Receptor Agonists in Obstructive Sleep Apnea and Obesity.,Current pulmonology reports,CardioMetabolic,oa_package/4a/f7/PMC12289732.tar.gz,CC BY
PMC6854249,31772940,10.1155/2019/1963178,2019.0,Expression of Dual-Specificity Phosphatase 9 in Placenta and Its Relationship with Gestational Diabetes Mellitus.,Journal of diabetes research,CardioMetabolic,oa_package/af/fe/PMC6854249.tar.gz,CC BY
PMC12116997,40423845,10.1007/s00248-025-02552-x,2025.0,Metabolite-Driven Modulation of Biofilm Formation in Shewanella: Insights from Shewanella sp. Pdp11 Extracellular Products.,Microbial ecology,CardioMetabolic,oa_package/c6/28/PMC12116997.tar.gz,CC BY
PMC8704668,34960902,10.3390/polym13244351,2021.0,Composite Polymers from Leather Waste to Produce Smart Fertilizers.,Polymers,CardioMetabolic,oa_package/c2/98/PMC8704668.tar.gz,CC BY
PMC11697767,39759439,10.1016/j.jacadv.2024.101440,2024.0,"The Relationship Between Quantitative Ischemia, Early Revascularization, and Major Adverse Cardiovascular Events: A Multicenter Study.",JACC. Advances,CardioMetabolic,oa_package/94/77/PMC11697767.tar.gz,CC BY-NC-ND
PMC10359534,37253631,10.1136/heartjnl-2023-322445,2023.0,"Joint British Societies' position statement on bullying, harassment and discrimination in cardiology.",Heart (British Cardiac Society),CardioMetabolic,oa_package/7f/6a/PMC10359534.tar.gz,CC BY-NC
PMC12503095,40919830,10.14744/AnatolJCardiol.2025.5755,2025.0,"Transportation Noise and Cardiovascular Health: Evidence, Mechanisms, and Policy Imperatives.",Anatolian journal of cardiology,CardioMetabolic,oa_package/3c/ce/PMC12503095.tar.gz,CC BY-NC
PMC12240627,40642542,10.1253/circrep.CR-25-0071,2025.0,Association Between Extracorporeal Cardiopulmonary Resuscitation and Prognosis in the Short and Long Term in Patients With Acute Myocardial Infarction Complicated by Refractory Cardiac Arrest.,Circulation reports,CardioMetabolic,oa_package/48/57/PMC12240627.tar.gz,CC BY-NC-ND
PMC7815737,33469076,10.1038/s41598-020-80868-z,2021.0,Blood-based protein profiling identifies serum protein c-KIT as a novel biomarker for hypertrophic cardiomyopathy.,Scientific reports,CardioMetabolic,oa_package/63/d2/PMC7815737.tar.gz,CC BY
PMC12503057,41064230,10.2147/DMSO.S557119,2025.0,"CD44, ACAN, PLVAP, and HBEGF Emerged as Potential Biomarkers in Diabetic Retinopathy.","Diabetes, metabolic syndrome and obesity : targets and therapy",CardioMetabolic,oa_package/7d/5b/PMC12503057.tar.gz,CC BY-NC
PMC12198381,40562785,10.1038/s41467-025-60910-2,2025.0,Obesity drives depot-specific vascular remodeling in male white adipose tissue.,Nature communications,CardioMetabolic,oa_package/c9/84/PMC12198381.tar.gz,CC BY
PMC9030388,35465304,10.2147/IJGM.S350673,2022.0,T1 Mapping and Extracellular Volume in Cardiomyopathy Showing Left Ventricular Hypertrophy: Differentiation Between Hypertrophic Cardiomyopathy and Hypertensive Heart Disease.,International journal of general medicine,CardioMetabolic,oa_package/43/d6/PMC9030388.tar.gz,CC BY-NC
PMC7919052,33671957,10.3390/antiox10020287,2021.0,Quantitative and Predictive Modelling of Lipid Oxidation in Mayonnaise.,"Antioxidants (Basel, Switzerland)",CardioMetabolic,oa_package/80/a2/PMC7919052.tar.gz,CC BY
PMC11673773,39767720,10.3390/biomedicines12122814,2024.0,Machine Learning Model Discriminate Ischemic Heart Disease Using Breathome Analysis.,Biomedicines,CardioMetabolic,oa_package/36/be/PMC11673773.tar.gz,CC BY
PMC11354072,39202237,10.3390/diagnostics14161749,2024.0,Temporal Pattern Analysis of Ultrasound Surveillance Data in Vascular Connective Tissue Disorders.,"Diagnostics (Basel, Switzerland)",CardioMetabolic,oa_package/a3/81/PMC11354072.tar.gz,CC BY
PMC6160732,30279628,10.3164/jcbn.18-11,2018.0,"Sex differences in associations among metabolic syndrome, obesity, related biomarkers, and colorectal adenomatous polyp risk in a Japanese population.",Journal of clinical biochemistry and nutrition,CardioMetabolic,oa_package/53/fa/PMC6160732.tar.gz,CC BY
PMC10693366,38046969,10.4103/ijnm.ijnm_162_22,2023.0,Myocardial Perfusion Scan Study before and after On-Pump Coronary Artery Bypass Grafting Surgery - A Single-Center Study.,"Indian journal of nuclear medicine : IJNM : the official journal of the Society of Nuclear Medicine, India",CardioMetabolic,oa_package/cc/23/PMC10693366.tar.gz,CC BY-NC-SA
PMC12535845,41122164,10.3389/fimmu.2025.1662906,2025.0,Invariant Natural Killer T lymphocytes as natural sensors for microbes: a two-edged sword in liver diseases.,Frontiers in immunology,CardioMetabolic,oa_package/6d/4d/PMC12535845.tar.gz,CC BY
PMC9860549,36676133,10.3390/life13010184,2023.0,Metabolic Heterogeneity of Cerebral Cortical and Cerebellar Astrocytes.,"Life (Basel, Switzerland)",CardioMetabolic,oa_package/63/bd/PMC9860549.tar.gz,CC BY
PMC12157951,40466061,10.2196/66308,2025.0,"Gender Differences in X (Formerly Twitter) Use, Influence, and Engagement Among Cardiologists From the Top U.S. News Best Hospitals.",JMIR cardio,CardioMetabolic,oa_package/2f/96/PMC12157951.tar.gz,CC BY
PMC6723231,31398820,10.3390/pharmaceutics11080397,2019.0,Short Term Stability Testing of Efavirenz-Loaded Solid Lipid Nanoparticle (SLN) and Nanostructured Lipid Carrier (NLC) Dispersions.,Pharmaceutics,CardioMetabolic,oa_package/31/c0/PMC6723231.tar.gz,CC BY
PMC10167520,37181385,10.1016/j.jacasi.2022.11.016,2023.0,Can Most Calcified Coronary Stenosis Be Optimized With Coronary Intravascular Lithotripsy?,JACC. Asia,CardioMetabolic,oa_package/fe/10/PMC10167520.tar.gz,CC BY-NC-ND
PMC10574311,37836750,10.3390/molecules28196907,2023.0,Cannabidiol-Loaded Lipid-Stabilized Nanoparticles Alleviate Psoriasis Severity in Mice: A New Approach for Improved Topical Drug Delivery.,"Molecules (Basel, Switzerland)",CardioMetabolic,oa_package/f0/28/PMC10574311.tar.gz,CC BY
PMC9438316,36050788,10.1186/s40164-022-00303-z,2022.0,Metabolic cross-talk within the bone marrow milieu: focus on multiple myeloma.,Experimental hematology & oncology,CardioMetabolic,oa_package/94/e1/PMC9438316.tar.gz,CC BY
PMC8353454,34385917,10.3389/fphar.2021.683335,2021.0,Follistatin Attenuates Myocardial Fibrosis in Diabetic Cardiomyopathy via the TGF-β-Smad3 Pathway.,Frontiers in pharmacology,CardioMetabolic,oa_package/99/3e/PMC8353454.tar.gz,CC BY
